ein;ARTUB,ADV
eine;ARTUB
einen;ARTUB
einer;ARTUB
einem;ARTUB
einen;ARTUB
Graph;NN:Graph:M
ist;VA:sein
Gebilde;NN:Gebilde:N
Kante;NN:Kante:F
Knoten;NN:Knoten:M
der;ART
die;ART
das;ART
gerichtet;ADJ
ungerichtet;ADJ
kann;VA:können
oder;CON
und;CON
sein;VA:sein,PRPOS
seine;PRPOS
ihre;PRPOS
Graphentheorie;NN:Graphentheorie:F
abstrakte:ADJ
Struktur;NN:Struktur:F
Menge;NN:Menge:F
von;PRP
Objekten;NN:Objekt:N
zusammen;ADV
mit;PRP
den;ART
zwischen;PRP
diesen;PRDEM
bestehenden;ADJ
Verbindungen;NN:Verbindung:F
repräsentiert;VV:repräsentieren
mathematischen;ADJ
Abstraktionen;NN:Abstraktion:F
werden;VA:sein
dabei;ADV
auch;ADV
Ecken;NN:Ecke:F
des;ART
genannt;VVPART:nennen
paarweisen;ADJ
heißen;ADJ,VV:heißen
Kanten;NN:Kante:F
manchmal;ADV
können;VA:können
häufig;ADJ
anschaulich;ADJ
gezeichnet;VVPART
indem;SUBJ
durch;PRP
Punkte;NN:Punkt:M
Linien;NN:Linie:F
dargestellt;VVPART:darstellen
größer;ADJ
ich;PRPERS
bin;VA:sein
habe;VA:haben
du;PRPERS
kannst;VA:können
bist;VA:sein
hast;VA:haben
er;PRPERS
hat;VA:haben
sie;PRPERS
es;PRPERS
wir;PRPERS
sind;VA:sein
haben;VA:haben
ihr;PRPERS
könnt;VA:können
seid;VA:sein
habtVA:haben
aus;PRP
